video_id|prompt
00001.mp4|Aerial shot of city traffic at night. There are intersections of large avenues, bridges and buildings with lights around.
00002.mp4|City night traffic of a bridge and a road under it, with buildings and a dark sky.
00003.mp4|Blurred abstract round lights in blue and red tones with black or dark background.
00004.mp4|Round yellow lights move across a dark background.
00005.mp4|Blurred circular lights on a black background, still purple and yellow lights, with red lights moving across the top.
00006.mp4|Orange abstract bokeh shot.
00007.mp4|Circular orange lights panning across a black background.
00008.mp4|Red and yellow circular lights blinking together, as white blue lights pass by across a dark background.
00009.mp4|A suspended bridge with a street below, cars passing on both roads at night time.
00010.mp4|Panning view of a red, luxury sports car in a parking lot with one headlight on. Sports car details include close ups of lights, mirrors and spoiler.
00011.mp4|Close up shot of a black sports car with an air intake scoop on the bonnet, next to a highway.
00012.mp4|Aerial video made with a static drone of a busy avenue and its surrounding streets. There are parking lots, parked cars, trees and people walking.
00013.mp4|Macro close up of a red sports car from taillights to front door.
00014.mp4|Zoom shot of a two seater red sports car parked indoors.
00015.mp4|A blonde woman wearing black sunglasses and a black leather jacket is texting on her smartphone. In the background, you can see a small city in the distance.
00016.mp4|A blonde woman wearing black leggings, black jacket and black sunglasses leans against a black sports car parked on the side of a road as other cars pass by, with green hills in the background.
00017.mp4|A cars dashboard view while a person is driving in the city traffic.
00018.mp4|Rear side video of a red convertible sports car in an underground carpark.
00019.mp4|Convertible sports car being parked in a ground floor parking lot.
00020.mp4|Slow panning of red flowers with and out of focus background in a forest.
00021.mp4|Close up video in slow motion of green leaves and branches on a tree during a sunny day. Blurred blue sky in the background.
00022.mp4|A man wearing a pair of brown boots and khaki pants walk through a forest with dried leaves on the ground and trees in the background with the sun shining through. The man stops and views the horizon.
00023.mp4|Man wearing grey hat, blue and white shirt and a black backpack walks through a forest, with the sun shining through the trees in the background.
00024.mp4|Green plant stalks swaying slightly in an extreme close up.
00025.mp4|Focused shot of branches and green foliage swaying in the wind on a summer or spring afternoon. Unfocused background of a meadow or forest.
00026.mp4|A brown haired woman wearing a red jacket walks through a forest and stops to drink water from a red water bottle.
00027.mp4|A large sunflower on a sky blue background
00028.mp4|Two people in hiking gear hike through desert type ground, walking towards green trees and bushes.
00029.mp4|Clouds move across the clear blue sky, then slowly become darker.
00030.mp4|Traffic lights change color as cars drive past.
00031.mp4|A man approaches a bicycle parking lot and removes a padlock, mounts a bicycle and rides off towards a street with trees and bushes.
